run_id,timestamp,component,provider,input_file,output_file,latency_seconds,error
45529bba,2026-07-05T12:00:00Z,stt,google,input_audio_16k/A004_locked_account_clean.wav,/Users/jay/Desktop/AICC/output/transcripts/45529bba_A004_locked_account_clean.txt,1.819,
0fd0fce2,2026-07-05T12:00:01Z,stt,faster-whisper,input_audio_16k/A004_locked_account_clean.wav,/Users/jay/Desktop/AICC/output/transcripts/0fd0fce2_A004_locked_account_clean.txt,0.693,
5b564e74,2026-07-05T12:00:04Z,stt,google,input_audio_16k/A005_atm_withdrawal_clean.wav,/Users/jay/Desktop/AICC/output/transcripts/5b564e74_A005_atm_withdrawal_clean.txt,2.226,
baa128f6,2026-07-05T12:00:05Z,stt,faster-whisper,input_audio_16k/A005_atm_withdrawal_clean.wav,/Users/jay/Desktop/AICC/output/transcripts/baa128f6_A005_atm_withdrawal_clean.txt,0.593,
fb4d1248,2026-07-05T12:00:08Z,stt,google,input_audio_16k/A006_card_vague.wav,/Users/jay/Desktop/AICC/output/transcripts/fb4d1248_A006_card_vague.txt,2.011,
80c2c458,2026-07-05T12:00:09Z,stt,faster-whisper,input_audio_16k/A006_card_vague.wav,/Users/jay/Desktop/AICC/output/transcripts/80c2c458_A006_card_vague.txt,0.559,
7d1190cc,2026-07-05T12:00:11Z,stt,google,input_audio_16k/A007_payment_missing_info.wav,/Users/jay/Desktop/AICC/output/transcripts/7d1190cc_A007_payment_missing_info.txt,1.781,
66b2e511,2026-07-05T12:00:13Z,stt,faster-whisper,input_audio_16k/A007_payment_missing_info.wav,/Users/jay/Desktop/AICC/output/transcripts/66b2e511_A007_payment_missing_info.txt,0.527,
c3491548,2026-07-05T12:00:16Z,stt,google,input_audio_16k/A008_card_sibling_confusion.wav,/Users/jay/Desktop/AICC/output/transcripts/c3491548_A008_card_sibling_confusion.txt,2.694,
5bcb3189,2026-07-05T12:00:18Z,stt,faster-whisper,input_audio_16k/A008_card_sibling_confusion.wav,/Users/jay/Desktop/AICC/output/transcripts/5bcb3189_A008_card_sibling_confusion.txt,0.866,
94a38634,2026-07-05T12:00:20Z,stt,google,input_audio_16k/A009_multi_intent_lost_card_fraud.wav,/Users/jay/Desktop/AICC/output/transcripts/94a38634_A009_multi_intent_lost_card_fraud.txt,1.89,
95b6a787,2026-07-05T12:00:21Z,stt,faster-whisper,input_audio_16k/A009_multi_intent_lost_card_fraud.wav,/Users/jay/Desktop/AICC/output/transcripts/95b6a787_A009_multi_intent_lost_card_fraud.txt,0.57,
b812d0cb,2026-07-05T12:00:24Z,stt,google,input_audio_16k/A010_out_of_scope.wav,/Users/jay/Desktop/AICC/output/transcripts/b812d0cb_A010_out_of_scope.txt,2.066,
3d1984b1,2026-07-05T12:00:25Z,stt,faster-whisper,input_audio_16k/A010_out_of_scope.wav,/Users/jay/Desktop/AICC/output/transcripts/3d1984b1_A010_out_of_scope.txt,0.55,
a23c835a,2026-07-05T12:00:29Z,stt,google,input_audio_16k/A011_natural_spoken_disfluent.wav,/Users/jay/Desktop/AICC/output/transcripts/a23c835a_A011_natural_spoken_disfluent.txt,2.722,
7b5fc8dd,2026-07-05T12:00:30Z,stt,faster-whisper,input_audio_16k/A011_natural_spoken_disfluent.wav,/Users/jay/Desktop/AICC/output/transcripts/7b5fc8dd_A011_natural_spoken_disfluent.txt,0.734,
cac62768,2026-07-05T12:00:33Z,stt,google,input_audio_16k/A012_numbers_and_account_words.wav,/Users/jay/Desktop/AICC/output/transcripts/cac62768_A012_numbers_and_account_words.txt,2.27,
5aeca7af,2026-07-05T12:00:34Z,stt,faster-whisper,input_audio_16k/A012_numbers_and_account_words.wav,/Users/jay/Desktop/AICC/output/transcripts/5aeca7af_A012_numbers_and_account_words.txt,0.633,
5703ae60,2026-07-05T12:00:37Z,llm,ollama,input_text/LLM001_clean_lost_card.txt,/Users/jay/Desktop/AICC/output/llm_outputs/5703ae60_test_llm.json,2.475,
74c08c84,2026-07-05T12:00:43Z,llm,ollama,input_text/LLM002_vague_card_issue.txt,/Users/jay/Desktop/AICC/output/llm_outputs/74c08c84_test_llm.json,5.494,
b1a9e524,2026-07-05T12:00:49Z,llm,ollama,input_text/LLM003_multi_intent.txt,/Users/jay/Desktop/AICC/output/llm_outputs/b1a9e524_test_llm.json,5.988,
23ea5a39,2026-07-05T12:00:54Z,llm,ollama,input_text/LLM004_out_of_scope.txt,/Users/jay/Desktop/AICC/output/llm_outputs/23ea5a39_test_llm.json,5.523,
8797f901,2026-07-05T12:01:00Z,llm,ollama,input_text/LLM005_sibling_confusion.txt,/Users/jay/Desktop/AICC/output/llm_outputs/8797f901_test_llm.json,5.767,
