run_id,timestamp,audio_file,stt_provider,stt_model,llm_provider,llm_model,tts_provider,tts_voice,transcript,predicted_top_level_route,predicted_final_route,predicted_action,response_to_customer,confidence,route_valid,output_audio_path,stt_latency_seconds,llm_latency_seconds,tts_latency_seconds,total_latency_seconds,error
9919a2a8,2026-07-05T12:02:26Z,input_audio_16k/A004_locked_account_clean.wav,google,,ollama,llama3.2,google,,I tried logging into my account too many times and now my account is locked.,Account Access,Locked Account,route,"I apologize for the inconvenience. To unlock your account, please contact us at [phone number] or [email address].",0.9,False,/Users/jay/Desktop/AICC/output/audio/9919a2a8_response.mp3,2.167,6.095,1.317,9.579,
cff799a0,2026-07-05T12:02:36Z,input_audio_16k/A004_locked_account_clean.wav,local,base.en,ollama,llama3.2,local,en_US-lessac-medium,I tried logging into my account too many times and now my account is locked.,Account Access,Locked Account,route,"I apologize for the inconvenience. Your account is currently locked due to excessive login attempts. To unlock your account, please try logging in again after a certain period of time has passed.",1.0,False,/Users/jay/Desktop/AICC/output/audio/cff799a0_response.wav,0.531,3.058,1.17,4.759,
e0e3d6b9,2026-07-05T12:02:42Z,input_audio_16k/A004_locked_account_clean.wav,google,,ollama,llama3.2,local,en_US-lessac-medium,I tried logging into my account too many times and now my account is locked.,Account Access,Locked Account,route,We apologize for the inconvenience. Your account has been locked due to excessive login attempts. Please contact us at your earliest convenience so we can assist you in resetting your password and accessing your account.,0.8,False,/Users/jay/Desktop/AICC/output/audio/e0e3d6b9_response.wav,1.84,3.413,1.195,6.448,
3f8743f9,2026-07-05T12:02:49Z,input_audio_16k/A004_locked_account_clean.wav,local,base.en,ollama,llama3.2,google,,I tried logging into my account too many times and now my account is locked.,Account Access,Locked Account,offer_human_or_fallback,I'd like to help you unlock your account. Can you please confirm your account details so we can assist you further?,1.0,False,/Users/jay/Desktop/AICC/output/audio/3f8743f9_response.mp3,0.535,2.89,0.967,4.392,
697fb02a,2026-07-05T12:02:55Z,input_audio_16k/A005_atm_withdrawal_clean.wav,google,,ollama,llama3.2,google,,"I used on ATM to withdraw cash, but the machine did not give me the money even though my account was charged.",Deposits and ATM,Deposits and ATM > ATM Withdrawal Issue,route,Can you please confirm your account number and the exact amount you were trying to withdraw?,0.8,True,/Users/jay/Desktop/AICC/output/audio/697fb02a_response.mp3,2.157,5.881,1.011,9.049,
a83c3ebc,2026-07-05T12:03:05Z,input_audio_16k/A005_atm_withdrawal_clean.wav,local,base.en,ollama,llama3.2,local,en_US-lessac-medium,"I used on ATM to withdraw cash, but the machine did not give me the money even though my account was charged.",Deposits and ATM,Deposits and ATM > ATM Withdrawal Issue,route,I'd like to help you with the issue you're experiencing with your ATM withdrawal. Can you please provide more details about what happened?,0.8,True,/Users/jay/Desktop/AICC/output/audio/a83c3ebc_response.wav,0.62,3.145,1.119,4.884,
24026756,2026-07-05T12:03:10Z,input_audio_16k/A005_atm_withdrawal_clean.wav,google,,ollama,llama3.2,local,en_US-lessac-medium,"I used on ATM to withdraw cash, but the machine did not give me the money even though my account was charged.",Deposits and ATM,ATM Withdrawal Issue,route,I apologize for the inconvenience. Can you please try withdrawing cash again or contact us to assist you?,0.9,False,/Users/jay/Desktop/AICC/output/audio/24026756_response.wav,2.116,2.748,0.91,5.774,
1d3d0787,2026-07-05T12:03:17Z,input_audio_16k/A005_atm_withdrawal_clean.wav,local,base.en,ollama,llama3.2,google,,"I used on ATM to withdraw cash, but the machine did not give me the money even though my account was charged.",Deposits and ATM,ATM Withdrawal Issue,route,Can you please confirm your account number and the exact amount you were trying to withdraw?,0.8,False,/Users/jay/Desktop/AICC/output/audio/1d3d0787_response.mp3,0.617,2.78,1.321,4.718,
7a7d8329,2026-07-05T12:03:23Z,input_audio_16k/A006_card_vague.wav,google,,ollama,llama3.2,google,,Something weird happened with my card and I am not sure what kind of help I need.,Out of Scope,Out of Scope > Unsupported Service,offer_human_or_fallback,"I'm happy to help with banking-related questions. However, it seems your issue doesn't fall under our standard routing categories. Would you like to speak with a human agent for further assistance?",0.0,True,/Users/jay/Desktop/AICC/output/audio/7a7d8329_response.mp3,1.863,6.356,1.602,9.821,
da87b5a5,2026-07-05T12:03:33Z,input_audio_16k/A006_card_vague.wav,local,base.en,ollama,llama3.2,local,en_US-lessac-medium,"Something weird happened with my card, and I am not sure what kind of help I need.",Card Services,,clarify,I'd like to assist you further. Could you please provide more details about what happened with your card?,0.5,True,/Users/jay/Desktop/AICC/output/audio/da87b5a5_response.wav,0.584,2.841,1.154,4.579,
c1ab95c5,2026-07-05T12:03:39Z,input_audio_16k/A006_card_vague.wav,google,,ollama,llama3.2,local,en_US-lessac-medium,Something weird happened with my card and I am not sure what kind of help I need.,Card Services,,clarify,Can you please provide more information about what's happening with your card?,0.0,True,/Users/jay/Desktop/AICC/output/audio/c1ab95c5_response.wav,1.763,2.325,0.878,4.966,
d4b09d7c,2026-07-05T12:03:44Z,input_audio_16k/A006_card_vague.wav,local,base.en,ollama,llama3.2,google,,"Something weird happened with my card, and I am not sure what kind of help I need.",Card Services,,route,"Hello, I'd be happy to help you with your card issue. Can you please tell me more about what's happening?",1.0,True,/Users/jay/Desktop/AICC/output/audio/d4b09d7c_response.mp3,0.57,2.786,0.97,4.326,
439c83bd,2026-07-05T12:03:50Z,input_audio_16k/A007_payment_missing_info.wav,google,,ollama,llama3.2,google,,My payment did not go through but I'm not sure what happened.,Transfers and Payments,Failed Transfer,route,I apologize for the inconvenience. Can you please provide your account number so I can assist you further?,0.8,False,/Users/jay/Desktop/AICC/output/audio/439c83bd_response.mp3,1.616,5.902,0.801,8.319,
5ff52a0b,2026-07-05T12:03:59Z,input_audio_16k/A007_payment_missing_info.wav,local,base.en,ollama,llama3.2,local,en_US-lessac-medium,"My payment did not go through, but I am not sure what happened.",Account Access,,clarify,I'd like to help you with your account access. Can you please tell me more about what's not working for your payment?,0.5,True,/Users/jay/Desktop/AICC/output/audio/5ff52a0b_response.wav,0.538,5.638,1.114,7.29,
2aae77f8,2026-07-05T12:04:07Z,input_audio_16k/A007_payment_missing_info.wav,google,,ollama,llama3.2,local,en_US-lessac-medium,My payment did not go through but I'm not sure what happened.,Out of Scope,Out of Scope > Unsupported Service,offer_human_or_fallback,We were unable to understand your payment issue. Would you like to speak with a human agent for assistance?,0.9,True,/Users/jay/Desktop/AICC/output/audio/2aae77f8_response.wav,1.601,3.053,0.919,5.573,
95ee2f7b,2026-07-05T12:04:13Z,input_audio_16k/A007_payment_missing_info.wav,local,base.en,ollama,llama3.2,google,,"My payment did not go through, but I am not sure what happened.",Out of Scope,Out of Scope > Unsupported Service,offer_human_or_fallback,Your issue is not covered by our standard routing rules. I'm happy to help you find a solution.,0.0,True,/Users/jay/Desktop/AICC/output/audio/95ee2f7b_response.mp3,0.519,2.651,0.982,4.152,
a8526738,2026-07-05T12:04:19Z,input_audio_16k/A008_card_sibling_confusion.wav,google,,ollama,llama3.2,google,,My card was declined but I also saw a strange transaction earlier so I do not know if the card is broken or if there's a fraud.,Card Services,Fraud or Suspicious Transaction,route,I'd like to investigate a potential fraud transaction on your account. Can you please provide more information about the suspicious transaction?,0.8,False,/Users/jay/Desktop/AICC/output/audio/a8526738_response.mp3,2.469,6.001,0.811,9.281,
3d776baa,2026-07-05T12:04:29Z,input_audio_16k/A008_card_sibling_confusion.wav,local,base.en,ollama,llama3.2,local,en_US-lessac-medium,"My card was declined, but I also saw a strange transaction earlier, so I do not know if the card is broken or if there is a fraud.",Card Services,Card Services > Fraud or Suspicious Transaction,route,I'd like to review a transaction you saw earlier. Can you please provide more details about it?,0.8,True,/Users/jay/Desktop/AICC/output/audio/3d776baa_response.wav,0.705,5.792,1.031,7.528,
23e4d403,2026-07-05T12:04:37Z,input_audio_16k/A008_card_sibling_confusion.wav,google,,ollama,llama3.2,local,en_US-lessac-medium,My card was declined but I also saw a strange transaction earlier so I do not know if the card is broken or if there's a fraud.,Card Services,Card Services > Fraud or Suspicious Transaction,route,We're going to look into this transaction further.,0.9,True,/Users/jay/Desktop/AICC/output/audio/23e4d403_response.wav,2.993,2.583,0.816,6.392,
af6382ac,2026-07-05T12:04:44Z,input_audio_16k/A008_card_sibling_confusion.wav,local,base.en,ollama,llama3.2,google,,"My card was declined, but I also saw a strange transaction earlier, so I do not know if the card is broken or if there is a fraud.",Account Access,,clarify,I'd like to clarify what you mean by a 'strange transaction' earlier. Can you please provide more details?,0.0,True,/Users/jay/Desktop/AICC/output/audio/af6382ac_response.mp3,0.704,2.658,0.939,4.301,
ae7e6c0e,2026-07-05T12:04:50Z,input_audio_16k/A009_multi_intent_lost_card_fraud.wav,google,,ollama,llama3.2,google,,I lost my card yesterday. And now I see 2 purchases that I did not make.,Card Services,,route,Can you please confirm that you lost your card and would like us to assist with a replacement?,0.5,True,/Users/jay/Desktop/AICC/output/audio/ae7e6c0e_response.mp3,1.82,5.445,0.663,7.928,
377d5782,2026-07-05T12:04:59Z,input_audio_16k/A009_multi_intent_lost_card_fraud.wav,local,base.en,ollama,llama3.2,local,en_US-lessac-medium,I lost my card yesterday and now I see two purchases that I did not make.,Card Services,Fraud or Suspicious Transaction,route,I'd like to review your recent transactions and investigate the suspicious activity.,0.9,False,/Users/jay/Desktop/AICC/output/audio/377d5782_response.wav,0.553,5.704,1.007,7.264,
5a0c5b35,2026-07-05T12:05:07Z,input_audio_16k/A009_multi_intent_lost_card_fraud.wav,google,,ollama,llama3.2,local,en_US-lessac-medium,I lost my card yesterday. And now I see 2 purchases that I did not make.,Card Services,Fraud or Suspicious Transaction,route,Can you please provide more information about the suspicious transactions?,0.9,False,/Users/jay/Desktop/AICC/output/audio/5a0c5b35_response.wav,1.77,2.559,0.863,5.192,
2efb11f2,2026-07-05T12:05:13Z,input_audio_16k/A009_multi_intent_lost_card_fraud.wav,local,base.en,ollama,llama3.2,google,,I lost my card yesterday and now I see two purchases that I did not make.,Card Services,Card Services > Lost or Stolen Card,route,We'll be happy to help you with your lost card. Can you please confirm the last four digits of your card number?,0.8,True,/Users/jay/Desktop/AICC/output/audio/2efb11f2_response.mp3,0.537,2.944,0.928,4.409,
da8b60d0,2026-07-05T12:05:18Z,input_audio_16k/A010_out_of_scope.wav,google,,ollama,llama3.2,google,,I want to book a flight to Tokyo and use my bank points for the ticket.,Card Services,,clarify,I'd be happy to help you book a flight to Tokyo. Can you please provide more details about your bank points?,0.0,True,/Users/jay/Desktop/AICC/output/audio/da8b60d0_response.mp3,2.174,2.928,0.734,5.836,
a3ba85af,2026-07-05T12:05:25Z,input_audio_16k/A010_out_of_scope.wav,local,base.en,ollama,llama3.2,local,en_US-lessac-medium,I want to book a flight to Tokyo and use my bank points for the ticket.,Card Services,,route,I'd be happy to help you book a flight to Tokyo. Can you please tell me your bank card details so I can check on how many points you have available?,0.9,True,/Users/jay/Desktop/AICC/output/audio/a3ba85af_response.wav,0.53,2.856,1.117,4.503,
bc7b13de,2026-07-05T12:05:30Z,input_audio_16k/A010_out_of_scope.wav,google,,ollama,llama3.2,local,en_US-lessac-medium,I want to book a flight to Tokyo and use my bank points for the ticket.,Account Access,,clarify,,0.0,True,,1.752,1.757,0.0,3.509,LLM produced no response_to_customer; skipping TTS step.
3ee87550,2026-07-05T12:05:34Z,input_audio_16k/A010_out_of_scope.wav,local,base.en,ollama,llama3.2,google,,I want to book a flight to Tokyo and use my bank points for the ticket.,Account Access,,clarify,Can you please provide more information about your bank points or flight booking?,0.0,True,/Users/jay/Desktop/AICC/output/audio/3ee87550_response.mp3,0.545,2.326,0.771,3.642,
a6297ebd,2026-07-05T12:05:39Z,input_audio_16k/A011_natural_spoken_disfluent.wav,google,,ollama,llama3.2,google,,"Uh, yeah. So I was trying to send money earlier and it just like did not go through. I think it was from checking to savings.",Transfers and Payments,Failed Transfer,route,I apologize for the issue with your transfer. Can you please try again or contact us for assistance?,0.8,False,/Users/jay/Desktop/AICC/output/audio/a6297ebd_response.mp3,2.795,5.67,0.82,9.285,
9df4a07f,2026-07-05T12:05:49Z,input_audio_16k/A011_natural_spoken_disfluent.wav,local,base.en,ollama,llama3.2,local,en_US-lessac-medium,uh yeah so I was trying to send money earlier and it just like did not go through I think it was from checkings to savings,Transfers and Payments,Failed Transfer,offer_human_or_fallback,I apologize for the issue with your transfer. Can you please provide more details about what happened?,0.8,False,/Users/jay/Desktop/AICC/output/audio/9df4a07f_response.wav,0.822,5.87,1.032,7.724,
b45213e5,2026-07-05T12:05:58Z,input_audio_16k/A011_natural_spoken_disfluent.wav,google,,ollama,llama3.2,local,en_US-lessac-medium,"Uh, yeah. So I was trying to send money earlier and it just like did not go through. I think it was from checking to savings.",Account Access,,clarify,I'm not sure I understand what you're trying to say. Can you please provide more details about your banking issue?,0.5,True,/Users/jay/Desktop/AICC/output/audio/b45213e5_response.wav,2.718,2.758,0.948,6.424,
b6222f20,2026-07-05T12:06:05Z,input_audio_16k/A011_natural_spoken_disfluent.wav,local,base.en,ollama,llama3.2,google,,uh yeah so I was trying to send money earlier and it just like did not go through I think it was from checkings to savings,Transfers and Payments,Failed Transfer,offer_human_or_fallback,I apologize for the issue with your transfer. Can you please provide more details about what happened?,0.8,False,/Users/jay/Desktop/AICC/output/audio/b6222f20_response.mp3,0.704,2.913,0.899,4.516,
cdbf1c5d,2026-07-05T12:06:11Z,input_audio_16k/A012_numbers_and_account_words.wav,google,,ollama,llama3.2,google,,"I scheduled a transfer for July 15th from checking ending in 4291, but I need to change it.",Transfers and Payments,Scheduled Transfer,route,We can help you reschedule your transfer. Can you please provide the new date and time?,0.9,False,/Users/jay/Desktop/AICC/output/audio/cdbf1c5d_response.mp3,2.299,6.346,1.033,9.678,
8fd9bbb3,2026-07-05T12:06:22Z,input_audio_16k/A012_numbers_and_account_words.wav,local,base.en,ollama,llama3.2,local,en_US-lessac-medium,"I scheduled a transfer for July 15th from checking ending in 4, 2, 9, 1, but I need to change it.",Transfers and Payments,Scheduled Transfer,route,Can you please confirm or modify your scheduled transfer details?,0.9,False,/Users/jay/Desktop/AICC/output/audio/8fd9bbb3_response.wav,0.669,5.204,0.986,6.859,
1f506887,2026-07-05T12:06:29Z,input_audio_16k/A012_numbers_and_account_words.wav,google,,ollama,llama3.2,local,en_US-lessac-medium,"I scheduled a transfer for July 15th from checking ending in 4291, but I need to change it.",Transfers and Payments,Scheduled Transfer,route,Can you confirm your account details so we can proceed with the transfer?,0.5,False,/Users/jay/Desktop/AICC/output/audio/1f506887_response.wav,2.312,2.774,0.86,5.946,
3c0feb7f,2026-07-05T12:06:36Z,input_audio_16k/A012_numbers_and_account_words.wav,local,base.en,ollama,llama3.2,google,,"I scheduled a transfer for July 15th from checking ending in 4, 2, 9, 1, but I need to change it.",Transfers and Payments,Scheduled Transfer,route,Please wait while I check on your scheduled transfer.,1.0,False,/Users/jay/Desktop/AICC/output/audio/3c0feb7f_response.mp3,0.647,2.193,0.741,3.581,
